,0,1
0,Amay ,0.6036040343481623
1,Chooz ,0.5505574173305858
2,Hastiere,3.533949646070575e-17
3,Huccorgne ,0.0
4,Jemelle ,0.6675116326614752
5,La Bar Cheveuges ,0.04035940006980394
6,La Meuse Goncourt,0.0
7,La Meuse Saint-Mihiel ,0.3823017868042572
8,La Meuse Stenay ,0.3585591575761306
9,La Vence la Francheville ,0.710662907202212
10,Le Loison Han-lÃ©s-Juvigny ,0.5956148047679747
11,Le Mouzon Circourt-sur-Mouzon [Villars] ,0.6981653521745267
12,Le Vair Soulosse-sous-Saint-Ã‰lophe ,0.5652504413186135
13,Membre Pont ,0.6127780390692041
14,Treignes ,0.6201212709928405
15,Warnant ,0.2759529748376472
16,Wiheries ,0.3277274880855775
